HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
ManC,Liverpool,2,2,1,2,20,12,6,5,10,9,7,6,1,3,0,0
Chelsea,Liverpool,2,2,1,2,11,8,5,4,17,17,4,2,4,1,0,0
ManU,Tottenham,0,0,1,0,16,9,6,4,7,7,13,2,2,1,0,0
Chelsea,ManU,2,2,0,2,13,10,6,4,15,21,5,4,1,3,0,1
Liverpool,Everton,2,3,0,2,20,18,9,4,11,13,5,8,0,3,0,0
Tottenham,ManC,0,0,1,0,4,24,2,10,11,10,3,5,1,4,1,0
ManC,Chelsea,0,0,1,0,25,18,3,6,11,13,12,6,3,3,0,0
Liverpool,Arsenal,2,4,0,2,22,11,12,6,14,14,6,6,1,2,0,0
Tottenham,Everton,2,0,0,1,8,11,2,3,9,13,9,7,1,0,0,0
Arsenal,ManU,1,0,0,1,17,6,5,2,10,14,5,5,1,2,0,0
Chelsea,Everton,2,0,0,1,25,8,8,2,15,12,8,8,1,2,0,0
Chelsea,Tottenham,2,0,0,1,12,6,4,2,11,18,5,4,2,3,0,1
ManU,Liverpool,0,0,1,0,13,17,1,7,13,12,3,4,1,4,1,0
Tottenham,Arsenal,0,0,1,0,17,7,2,3,18,11,5,2,5,3,0,0
Chelsea,Arsenal,2,4,0,2,21,12,11,5,14,8,7,1,0,1,0,1
ManU,ManC,0,0,1,0,10,13,4,4,12,8,5,8,2,2,0,0
Arsenal,ManC,1,0,1,0,10,15,3,4,8,11,6,6,1,4,0,0
Liverpool,Tottenham,2,2,0,2,11,15,5,4,9,9,5,7,0,2,0,0
Everton,Arsenal,2,2,0,2,14,15,8,5,6,5,3,6,1,2,0,0
Liverpool,ManC,2,2,0,2,10,13,4,5,7,9,7,7,1,3,1,0
Everton,ManU,2,2,0,2,17,9,5,2,9,8,6,5,2,2,0,0
Liverpool,Chelsea,0,0,1,0,26,11,8,4,9,7,14,3,0,4,0,0
Everton,ManC,0,1,2,0,9,18,4,6,3,9,4,3,0,3,0,0
Everton,Arsenal,1,2,0,2,8,13,2,3,10,18,3,3,1,4,0,0
ManC,Liverpool,2,1,0,2,9,11,4,3,13,7,6,7,1,1,0,0
Everton,Chelsea,0,1,2,0,17,12,7,8,7,16,8,2,1,3,0,0
Tottenham,Liverpool,0,0,1,0,7,17,1,8,14,11,7,3,0,4,0,0
Arsenal,ManC,1,0,1,0,15,15,6,8,11,15,0,3,3,4,0,0
